card_id,decks,deck_wins,win_rate,ci_lo,ci_hi,inclusion_rate,mean_copies,card
174,447,274,0.6129753914988815,0.5670415399433177,0.6569839270943292,0.11345177664974619,1.0,Fan Rotom
848,447,274,0.6129753914988815,0.5670415399433177,0.6569839270943292,0.11345177664974619,3.8344519015659957,Buneary
849,447,274,0.6129753914988815,0.5670415399433177,0.6569839270943292,0.11345177664974619,3.0,Mega Lopunny ex
1229,453,276,0.609271523178808,0.5636011346676585,0.6531041741308398,0.11497461928934011,3.9977924944812364,Wally's Compassion
1174,511,305,0.5968688845401174,0.5537676271452405,0.6385245264025692,0.1296954314720812,3.493150684931507,Air Balloon
184,213,127,0.596244131455399,0.5292103237972663,0.6598677866760008,0.05406091370558375,1.6525821596244132,Latias ex
108,126,75,0.5952380952380952,0.507943775465677,0.6768968303186016,0.03197969543147208,1.0,Wellspring Mask Ogerpon ex
63,126,75,0.5952380952380952,0.507943775465677,0.6768968303186016,0.03197969543147208,2.0,Raging Bolt ex
4,126,75,0.5952380952380952,0.507943775465677,0.6768968303186016,0.03197969543147208,2.0,Basic {L} Energy
978,126,75,0.5952380952380952,0.507943775465677,0.6768968303186016,0.03197969543147208,1.0,Passimian
1205,126,75,0.5952380952380952,0.507943775465677,0.6768968303186016,0.03197969543147208,2.0,Cyrano
1098,126,75,0.5952380952380952,0.507943775465677,0.6768968303186016,0.03197969543147208,2.0,Glass Trumpet
1088,139,82,0.5899280575539568,0.5068132599829412,0.6682057820888362,0.03527918781725888,1.0,Prime Catcher
1116,129,76,0.5891472868217055,0.5028645140129736,0.6702740209037995,0.032741116751269034,3.9302325581395348,Energy Switch
66,583,340,0.5831903945111492,0.5427515768666695,0.6225400452678211,0.14796954314720812,3.4305317324185247,Dudunsparce
305,573,334,0.5828970331588132,0.5421023454365708,0.6225875798392762,0.14543147208121826,3.8027923211169283,Dunsparce
1221,431,251,0.5823665893271461,0.5352793022464278,0.627998544215364,0.10939086294416243,1.0,N's Plan
1223,431,251,0.5823665893271461,0.5352793022464278,0.627998544215364,0.10939086294416243,1.777262180974478,Harlequin
